ImportParcelID,PropertyZip,_pscore,_support,_weight
,91320,.3587496383509814,On support,1
,91320,.1077922183392704,On support,1
,91320,.518982518991924,On support,1
,91320,.11599530250626,On support,1
,91320,.1655493917568039,On support,1
,91320,.2601709673205979,On support,1
,91320,.4389339432583306,On support,1
,91320,.1409653016379068,On support,1
,91320,.1846885870407347,On support,1
,91320,.6767180920639272,On support,1
,91320,.6672907066189723,On support,1
,91320,.1695209956254781,On support,1
,91320,.1480352098627002,On support,1
,91320,.4740874389893084,On support,1
,91320,.5151329981365447,On support,1
,91320,.1246858247939457,On support,1
,91320,.4280650989251927,On support,1
,91320,.3075530730014929,On support,1
,91320,.13723420541296,On support,1
,91320,.29776204473875,On support,1
,91320,.5875526167199413,On support,1
,91320,.3729294322312538,On support,1
,91320,.2771746823603435,On support,1
,91320,.3190353741507339,On support,1
,91320,.0977584793425443,On support,1
,91320,.2068621350782861,On support,1
,91320,.2794260736169248,On support,1
,91320,.344683309243742,On support,1
,91320,.2812810239955857,On support,1
,91320,.1816861753158294,On support,1
,91320,.086829849740238,On support,1
,91320,.4981866714768153,On support,1
,91320,.1310833862068853,On support,1
,91320,.6705354730334668,On support,1
,91320,.2302553031302089,On support,1
,91320,.1760527626848799,On support,1
,91320,.4547925682169393,On support,1
,91320,.2027920934335437,On support,1
,91320,.1384725628326406,On support,1
,91320,.1600627393568026,On support,1
,91320,.1658558001727946,On support,1
,91320,.1892991781931818,On support,1
,91320,.5442524741040835,On support,1
,91320,.6633724554467056,On support,1
,91320,.1527439618256302,On support,1
,91320,.5556117651358342,On support,1
,91320,.4480780863500036,On support,1
,91320,.5622640145767382,On support,1
,91320,.1537105160535165,On support,1
,91320,.5397321380310841,On support,1
,91320,.2466098465561399,On support,1
,91320,.1707816845168991,On support,1
,91320,.6000451385888317,On support,1
,91320,.5400220592784903,On support,1
,91320,.1304883370178137,On support,1
,91320,.670433220086009,On support,1
,91320,.235881654847979,On support,1
,91320,.622757682875837,On support,1
,91320,.482980003516522,On support,1
,91320,.2431272340810194,On support,1
,91320,.1315334267643341,On support,1
,91320,.3198556044882725,On support,1
,91320,.1733360118663137,On support,1
,91320,.1959291358853292,On support,1
,91320,.6628228973425732,On support,1
,91320,.1063330401505192,On support,1
,91320,.2718790492704969,On support,1
,91320,.1017689432792557,On support,1
,91320,.3424378768119356,On support,1
,91320,.252676927243735,On support,1
,91320,.5411377516788979,On support,1
,91320,.2642133272534493,On support,1
,91320,.2009561539653228,On support,1
,91320,.4069813726715848,On support,1
,91320,.098474701386358,On support,1
,91320,.3369996932946918,On support,1
,91320,.3155738212482201,On support,1
,91320,.0694825637998642,On support,1
,91320,.2206121254631463,On support,1
,91320,.1585951615065286,On support,1
,91320,.4109538563769352,On support,1
,91320,.2557381126916808,On support,1
,91320,.6626870695039113,On support,1
,91320,.4881665578379266,On support,1
,91320,.3648153269776919,On support,1
,91320,.3802664249630613,On support,1
,91320,.3114136650174411,On support,1
,91320,.3231983422705599,On support,1
,91320,.6573905318879627,On support,1
,91320,.6782398564297415,On support,1
,91320,.3731665816804728,On support,1
,91320,.2813792483857254,On support,1
,91320,.2529077976302072,On support,1
,91320,.5470911690389633,On support,1
,91320,.4380054881430203,On support,1
,91320,.6781553169487214,On support,1
,91320,.2342915205688754,On support,1
,91320,.1874832147844651,On support,1
,91320,.1740487927596166,On support,1
,91320,.2941165262480943,On support,1
,91320,.201870737890891,On support,1
,91320,.5175033740829884,On support,1
,91320,.2181298329128314,On support,1
,91320,.5405130704563669,On support,1
,91320,.3316308844284366,On support,1
,91320,.5434462743789761,On support,1
,91320,.4031254601874216,On support,1
,91320,.0959551546258672,On support,1
,91320,.1246035094172128,On support,1
,91320,.2695088003554962,On support,1
,91320,.472209877677069,On support,1
,91320,.4436710615431793,On support,1
,91320,.185552635929076,On support,1
,91320,.1599029205212893,On support,1
,91320,.1553152212509022,On support,1
,91320,.0724831540091873,On support,1
,91320,.4178136651350792,On support,1
,91320,.5872962060687954,On support,1
,91320,.320484081505661,On support,1
,91320,.2175250372196717,On support,1
,91320,.4341731693100441,On support,1
,91320,.4413801682828859,On support,1
,91320,.558025381824206,On support,1
,91320,.5208156430228846,On support,1
,91320,.2857418869755168,On support,1
,91320,.1799581759686279,On support,1
,91320,.4500491246924004,On support,1
,91320,.0911250640453072,On support,1
,91320,.5296594413104859,On support,1
,91320,.1472384549139777,On support,1
,91320,.2487058314476806,On support,1
,91320,.1443536976451186,On support,1
,91320,.503152870419156,On support,1
,91320,.2420058730514901,On support,1
,91320,.6741341675082502,On support,1
,91320,.5222922890363444,On support,1
,91320,.5402836860371143,On support,1
,91320,.2462200478526155,On support,1
,91320,.2327316677539538,On support,1
,91320,.2648193906345931,On support,1
,91320,.5471177900894378,On support,1
,91320,.1614019967365449,On support,1
,91320,.0273945473847553,On support,1
,91320,.5407097637472149,On support,1
,91320,.4546195673312214,On support,1
,91320,.2552683933251047,On support,1
,91320,.2585852066189772,On support,1
,91320,.4242913831958434,On support,1
,91320,.2451088840101453,On support,1
,91320,.5978627709976841,On support,1
,91320,.28336041091542,On support,1
,91320,.1834520957646902,On support,1
,91320,.2674861650377678,On support,1
,91320,.6611643723449598,On support,1
,91320,.1037577142697882,On support,1
,91320,.5142179591837032,On support,1
,91320,.2161810792051592,On support,1
,91320,.2114181363106012,On support,1
,91320,.1630240731672273,On support,1
,91320,.2538656494582603,On support,1
,91320,.6581968026116474,On support,1
,91320,.212366176154152,On support,1
,91320,.3663616859181739,On support,1
,91320,.3682635152351369,On support,1
,91320,.6670288602458129,On support,1
,91320,.2227359477696656,On support,1
,91320,.1843134724156449,On support,1
,91320,.545056868075852,On support,1
,91320,.3392468576200245,On support,1
,91320,.2310654511233242,On support,1
,91320,.3175829382274776,On support,1
,91320,.1348591040697525,On support,1
,91320,.313369686385618,On support,1
,91320,.587124514699119,On support,1
,91320,.5060912248981958,On support,1
,91320,.2420832029424356,On support,1
,91320,.3652247454938796,On support,1
,91320,.6666392511955763,On support,1
,91320,.1602920745697248,On support,1
,91320,.2813434722886593,On support,1
,91320,.2089388857926712,On support,1
,91320,.3772970417858891,On support,1
,91320,.6590210208662046,On support,1
,91320,.1009286839197295,On support,1
,91320,.5204397404488955,On support,1
,91320,.1308355652973739,On support,1
,91320,.4355170694100963,On support,1
,91320,.0840306879476452,On support,1
,91320,.1493925266282334,On support,1
,91320,.2227863969306197,On support,1
,91320,.5132935787301548,On support,1
,91320,.616900541999162,On support,1
,91320,.5103883607379849,On support,1
,91320,.1760815873582642,On support,1
,91320,.4078812930083896,On support,1
,91320,.1532189477755138,On support,1
,91320,.6711166740032255,On support,1
,91320,.1832960115154175,On support,1
,91320,.2840242803307247,On support,1
,91320,.1385802850861945,On support,1
,91320,.6318771127854224,On support,1
,91320,.3942756267641977,On support,1
,91320,.4892682310538879,On support,1
,91320,.0696797696689048,On support,1
,91320,.5164463461481476,On support,1
,91320,.041367287838269,On support,1
,91320,.2536268364190529,On support,1
,91320,.2782709888253372,On support,1
,91320,.1671725903089707,On support,1
,91320,.5190171313173312,On support,1
,91320,.2881916819467294,On support,1
