,,Robust,,,,
logprice,Coef.,Std. Err.,t    P>t,,[95% Conf.,Interval]
,,,,,,
hwvicinitypost1,-0.1277072,0.0979581,-2.22   0.026,,-0.4097016,-0.0257127
836,1.403067,0.0704736,19.91   0.000,,1.264941,1.541193
837,1.493812,0.0761989,19.60   0.000,,1.344465,1.643159
838,1.4144,0.0744477,19.00   0.000,,1.268485,1.560315
839,1.517801,0.0733389,20.70   0.000,,1.374059,1.661543
840,1.769056,0.0859679,20.58   0.000,,1.600562,1.93755
841,1.93702,0.0731474,26.48   0.000,,1.793653,2.080386
842,2.067019,0.0796924,25.94   0.000,,1.910824,2.223213
843,2.182604,0.074663,29.23   0.000,,2.036267,2.32894
844,2.245014,0.0742539,30.23   0.000,,2.099479,2.390549
845,2.307037,0.0824954,27.97   0.000,,2.145349,2.468725
846,2.334165,0.0783602,29.79   0.000,,2.180582,2.487748
847,2.409889,0.1252877,19.23   0.000,,2.16433,2.655449
848,2.598147,0.1072425,24.23   0.000,,2.387955,2.808338
849,0.3738138,0.0418327,8.94   0.000,,0.2918231,0.4558044
850,0.3539341,0.037533,9.43   0.000,,0.2803708,0.4274974
851,0.3128357,0.0374707,8.35   0.000,,0.2393944,0.386277
852,0.3090385,0.0375038,8.24   0.000,,0.2355324,0.3825446
853,0.3685164,0.0370746,9.94   0.000,,0.2958515,0.4411814
854,0.4664434,0.0364222,12.81   0.000,,0.3950571,0.5378297
855,0.5497654,0.0363857,15.11   0.000,,0.4784507,0.6210802
856,0.6449439,0.0363397,17.75   0.000,,0.5737194,0.7161683
857,0.7724175,0.0364474,21.19   0.000,,0.7009818,0.8438532
858,0.894248,0.0364791,24.51   0.000,,0.8227503,0.9657457
859,1.135707,0.0363734,31.22   0.000,,1.064416,1.206997
860,1.504568,0.0362261,41.53   0.000,,1.433566,1.57557
861,1.889631,0.0361082,52.33   0.000,,1.81886,1.960402
862,2.103836,0.0362449,58.05   0.000,,2.032797,2.174875
863,1.934547,0.0370059,52.28   0.000,,1.862017,2.007077
864,1.57289,0.0363963,43.22   0.000,,1.501555,1.644226
865,1.260457,0.0361182,34.90   0.000,,1.189667,1.331248
866,1.339641,0.0361946,37.01   0.000,,1.268701,1.410582
867,1.29834,0.0361927,35.87   0.000,,1.227404,1.369277
868,1.337356,0.036185,36.96   0.000,,1.266435,1.408277
869,1.525364,0.0364917,41.80   0.000,,1.453841,1.596886
870,1.703013,0.0365339,46.61   0.000,,1.631408,1.774618
871,1.787736,0.0364298,49.07   0.000,,1.716335,1.859137
872,1.895144,0.0365626,51.83   0.000,,1.823483,1.966805
873,2.011053,0.0364994,55.10   0.000,,1.939516,2.082591
874,2.140502,0.0365459,58.57   0.000,,2.068873,2.21213
875,2.225244,0.0365681,60.85   0.000,,2.153572,2.296917
876,2.317917,0.0367424,63.09   0.000,,2.245903,2.389931
877,2.542049,0.0379227,67.03   0.000,,2.467722,2.616376
878,0.1420933,0.0381853,3.72   0.000,,0.0672514,0.2169352
879,0.183458,0.0349643,5.25   0.000,,0.1149292,0.2519867
880,0.15603,0.0357625,4.36   0.000,,0.0859366,0.2261233
881,0.2285233,0.0350215,6.53   0.000,,0.1598824,0.2971642
882,0.3406093,0.0342634,9.94   0.000,,0.2734543,0.4077643
883,0.4953657,0.0338301,14.64   0.000,,0.42906,0.5616715
884,0.6566697,0.0337489,19.46   0.000,,0.5905231,0.7228163
885,0.8455784,0.0336524,25.13   0.000,,0.7796208,0.911536
886,1.015079,0.0336271,30.19   0.000,,0.9491713,1.080987
887,1.206527,0.033639,35.87   0.000,,1.140596,1.272458
888,1.42785,0.0334859,42.64   0.000,,1.362219,1.493481
889,1.71882,0.0333775,51.50   0.000,,1.653401,1.784239
890,1.855849,0.0334073,55.55   0.000,,1.790372,1.921326
891,1.861344,0.0337594,55.14   0.000,,1.795177,1.927512
892,1.704665,0.0352184,48.40   0.000,,1.635639,1.773692
893,1.511933,0.0340331,44.43   0.000,,1.445229,1.578637
894,1.405532,0.0336308,41.79   0.000,,1.339616,1.471447
895,1.497158,0.0335864,44.58   0.000,,1.43133,1.562986
896,1.484804,0.0336224,44.16   0.000,,1.418905,1.550703
897,1.528937,0.0336221,45.47   0.000,,1.463039,1.594835
898,1.714307,0.0335664,51.07   0.000,,1.648518,1.780096
899,1.815443,0.0337025,53.87   0.000,,1.749387,1.881498
900,1.901382,0.0336478,56.51   0.000,,1.835434,1.96733
901,2.010517,0.0335874,59.86   0.000,,1.944687,2.076347
902,2.099875,0.0335353,62.62   0.000,,2.034146,2.165603
903,2.191129,0.0336605,65.09   0.000,,2.125156,2.257103
904,2.219917,0.0337336,65.81   0.000,,2.1538,2.286033
905,2.307309,0.0335971,68.68   0.000,,2.24146,2.373158
906,2.498457,0.0341793,73.10   0.000,,2.431466,2.565447
907,0.1992155,0.1042974,1.91   0.056,,-0.0052038,0.4036348
908,0.1583609,0.0907133,1.75   0.081,,-0.0194341,0.3361558
909,0.1681773,0.0852074,1.97   0.048,,0.0011738,0.3351809
910,0.2513923,0.085009,2.96   0.003,,0.0847777,0.4180068
911,0.4180668,0.0844626,4.95   0.000,,0.2525231,0.5836105
912,0.6107682,0.0834985,7.31   0.000,,0.4471142,0.7744223
913,0.792574,0.0828814,9.56   0.000,,0.6301294,0.9550186
914,1.082173,0.0820447,13.19   0.000,,0.9213686,1.242978
915,1.123822,0.083232,13.50   0.000,,0.9606903,1.286954
916,1.178121,0.0825327,14.27   0.000,,1.01636,1.339882
917,1.210532,0.0818794,14.78   0.000,,1.050052,1.371013
918,1.356908,0.0821942,16.51   0.000,,1.19581,1.518005
919,1.566166,0.0837665,18.70   0.000,,1.401987,1.730345
920,1.648572,0.0824083,20.00   0.000,,1.487055,1.81009
921,1.672902,0.0825546,20.26   0.000,,1.511098,1.834706
922,1.632454,0.0826638,19.75   0.000,,1.470435,1.794472
923,1.483128,0.0834755,17.77   0.000,,1.31952,1.646737
924,1.552078,0.0831961,18.66   0.000,,1.389017,1.715139
925,1.589491,0.0837696,18.97   0.000,,1.425306,1.753677
926,1.658962,0.0835203,19.86   0.000,,1.495265,1.822659
927,1.876779,0.0826777,22.70   0.000,,1.714734,2.038825
928,2.028045,0.0838057,24.20   0.000,,1.863789,2.192302
929,2.149817,0.0835385,25.73   0.000,,1.986085,2.31355
930,2.205364,0.0839708,26.26   0.000,,2.040784,2.369944
931,2.247966,0.080808,27.82   0.000,,2.089585,2.406347
932,2.41983,0.0958122,25.26   0.000,,2.232042,2.607619
933,2.408593,0.0836317,28.80   0.000,,2.244678,2.572508
934,2.42337,0.0846188,28.64   0.000,,2.25752,2.589219
935,2.501431,0.0807805,30.97   0.000,,2.343104,2.659758
936,0.6080133,0.0409061,14.86   0.000,,0.5278387,0.6881878
937,0.6477213,0.036987,17.51   0.000,,0.575228,0.7202146
938,0.6298572,0.0383228,16.44   0.000,,0.5547459,0.7049686
939,0.6125317,0.0373133,16.42   0.000,,0.539399,0.6856644
940,0.6545322,0.0369763,17.70   0.000,,0.58206,0.7270044
941,0.6837201,0.0355422,19.24   0.000,,0.6140587,0.7533815
942,0.8088947,0.034836,23.22   0.000,,0.7406174,0.8771721
943,1.033075,0.0341358,30.26   0.000,,0.96617,1.09998
944,1.257463,0.0342247,36.74   0.000,,1.190383,1.324542
945,1.353395,0.0342864,39.47   0.000,,1.286195,1.420595
946,1.524635,0.0343731,44.36   0.000,,1.457265,1.592005
947,1.766288,0.0333018,53.04   0.000,,1.701018,1.831559
948,2.074162,0.0331738,62.52   0.000,,2.009142,2.139181
949,2.136093,0.0339436,62.93   0.000,,2.069565,2.202621
950,1.900195,0.035787,53.10   0.000,,1.830054,1.970337
951,1.481079,0.0331986,44.61   0.000,,1.416011,1.546147
952,1.204314,0.0334184,36.04   0.000,,1.138816,1.269813
953,1.286297,0.0335242,38.37   0.000,,1.220591,1.352003
954,1.234506,0.0338607,36.46   0.000,,1.16814,1.300871
955,1.30059,0.0342613,37.96   0.000,,1.233439,1.367741
956,1.51468,0.0349365,43.36   0.000,,1.446206,1.583155
957,1.660026,0.0346292,47.94   0.000,,1.592154,1.727898
958,1.773535,0.0342303,51.81   0.000,,1.706444,1.840625
959,1.894365,0.0345427,54.84   0.000,,1.826662,1.962067
960,2.026475,0.0339675,59.66   0.000,,1.9599,2.09305
961,2.150566,0.0410701,52.36   0.000,,2.07007,2.231062
962,2.232662,0.0407052,54.85   0.000,,2.152881,2.312443
963,2.28762,0.0392805,58.24   0.000,,2.210632,2.364608
964,2.445797,0.0486765,50.25   0.000,,2.350393,2.541201
965,-0.0086194,0.0857155,-0.10   0.920,,-0.1766187,0.15938
966,0.2064078,0.0461571,4.47   0.000,,0.1159416,0.2968741
967,0.2072819,0.0461264,4.49   0.000,,0.1168759,0.2976879
968,0.2334173,0.0447698,5.21   0.000,,0.1456701,0.3211645
969,0.3261158,0.0439443,7.42   0.000,,0.2399866,0.4122451
970,0.403184,0.0412584,9.77   0.000,,0.3223191,0.4840489
971,0.60345,0.0417467,14.46   0.000,,0.5216279,0.685272
972,0.8016658,0.0389676,20.57   0.000,,0.7252906,0.8780409
973,0.9924101,0.0413923,23.98   0.000,,0.9112827,1.073538
974,1.198723,0.040061,29.92   0.000,,1.120205,1.277241
975,1.4281,0.0401712,35.55   0.000,,1.349366,1.506834
976,1.683263,0.0381629,44.11   0.000,,1.608465,1.758061
977,1.83993,0.0392624,46.86   0.000,,1.762977,1.916883
978,1.869398,0.0428436,43.63   0.000,,1.785426,1.953371
979,1.875269,0.0436578,42.95   0.000,,1.789701,1.960837
980,1.740576,0.0418116,41.63   0.000,,1.658626,1.822525
981,1.582663,0.0413057,38.32   0.000,,1.501705,1.66362
982,1.62046,0.0412504,39.28   0.000,,1.539611,1.701309
983,1.595113,0.0405264,39.36   0.000,,1.515683,1.674543
984,1.603496,0.0405559,39.54   0.000,,1.524008,1.682984
985,1.761283,0.0414954,42.45   0.000,,1.679954,1.842613
986,1.9053,0.0393057,48.47   0.000,,1.828262,1.982337
987,1.936815,0.039499,49.03   0.000,,1.859398,2.014231
988,2.018989,0.0404358,49.93   0.000,,1.939736,2.098241
989,2.13662,0.0403628,52.94   0.000,,2.05751,2.21573
990,2.177409,0.0470016,46.33   0.000,,2.085288,2.269531
991,2.229099,0.0472644,47.16   0.000,,2.136462,2.321735
992,2.365776,0.0478369,49.46   0.000,,2.272017,2.459535
993,2.493167,0.0572258,43.57   0.000,,2.381007,2.605328
998,-0.1017407,0.0585896,-1.74   0.082,,-0.2165743,0.013093
999,-0.049416,0.0439918,-1.12   0.261,,-0.1356384,0.0368063
1000,0.0452981,0.0447061,1.01   0.311,,-0.0423242,0.1329204
1001,0.1243308,0.0414628,3.00   0.003,,0.0430652,0.2055964
1002,0.2786135,0.0410183,6.79   0.000,,0.1982191,0.3590078
1003,0.3440483,0.0422467,8.14   0.000,,0.2612463,0.4268504
1004,0.583327,0.0405148,14.40   0.000,,0.5039195,0.6627345
1005,0.8844416,0.0406198,21.77   0.000,,0.8048283,0.9640549
1006,0.9774546,0.0421549,23.19   0.000,,0.8948326,1.060077
1007,1.005945,0.0405415,24.81   0.000,,0.9264852,1.085405
1008,1.067725,0.0410304,26.02   0.000,,0.9873069,1.148143
1009,1.284811,0.0395291,32.50   0.000,,1.207336,1.362287
1010,1.48241,0.0400751,36.99   0.000,,1.403864,1.560956
1011,1.537278,0.0404235,38.03   0.000,,1.458049,1.616506
1012,1.555646,0.0420417,37.00   0.000,,1.473245,1.638046
1013,1.426758,0.0416322,34.27   0.000,,1.34516,1.508355
1014,1.290007,0.0416107,31.00   0.000,,1.208452,1.371563
1015,1.289,0.0412611,31.24   0.000,,1.20813,1.369871
1016,1.312153,0.0416245,31.52   0.000,,1.230571,1.393736
1017,1.436381,0.0403096,35.63   0.000,,1.357375,1.515386
1018,1.590218,0.041569,38.25   0.000,,1.508745,1.671692
1019,1.801473,0.0421835,42.71   0.000,,1.718795,1.884151
1020,1.874112,0.0427837,43.80   0.000,,1.790258,1.957967
1021,1.98209,0.0427459,46.37   0.000,,1.898309,2.06587
1022,2.113579,0.0433094,48.80   0.000,,2.028694,2.198464
1023,2.294233,0.0431176,53.21   0.000,,2.209724,2.378742
1024,2.262522,0.0481755,46.96   0.000,,2.1681,2.356944
1025,2.274804,0.0467199,48.69   0.000,,2.183235,2.366373
1026,2.396192,0.0515455,46.49   0.000,,2.295165,2.49722
1027,0.3508993,0.0912233,3.85   0.000,,0.1721049,0.5296938
1028,0.4602653,0.0510849,9.01   0.000,,0.3601407,0.5603899
1029,0.408455,0.0591115,6.91   0.000,,0.2925985,0.5243115
1030,0.4873776,0.0534004,9.13   0.000,,0.3827147,0.5920405
1031,0.5527829,0.054519,10.14   0.000,,0.4459276,0.6596382
1032,0.6770062,0.048451,13.97   0.000,,0.5820439,0.7719685
1033,0.847646,0.0471462,17.98   0.000,,0.7552411,0.9400509
1034,1.003828,0.0470749,21.32   0.000,,0.9115629,1.096093
1035,1.219024,0.0476302,25.59   0.000,,1.125671,1.312378
1036,1.410845,0.0464258,30.39   0.000,,1.319852,1.501838
1037,1.623251,0.0462243,35.12   0.000,,1.532653,1.713849
1038,1.891838,0.0463619,40.81   0.000,,1.800971,1.982706
1039,2.109887,0.0453,46.58   0.000,,2.021101,2.198674
1040,2.10325,0.0512583,41.03   0.000,,2.002785,2.203714
1041,1.85774,0.0545174,34.08   0.000,,1.750887,1.964592
1042,1.681096,0.0477709,35.19   0.000,,1.587467,1.774725
1043,1.564103,0.0473112,33.06   0.000,,1.471375,1.656831
1044,1.58513,0.0457297,34.66   0.000,,1.495502,1.674759
1045,1.549565,0.0473909,32.70   0.000,,1.456681,1.64245
1046,1.561778,0.049393,31.62   0.000,,1.464969,1.658586
1047,1.754083,0.0480742,36.49   0.000,,1.659859,1.848307
1048,1.961386,0.0484512,40.48   0.000,,1.866424,2.056349
1049,2.018053,0.0479909,42.05   0.000,,1.923992,2.112113
1050,2.053021,0.0484234,42.40   0.000,,1.958113,2.147929
1051,2.071675,0.0512237,40.44   0.000,,1.971279,2.172072
1052,2.225158,0.0494753,44.98   0.000,,2.128188,2.322127
1053,2.233336,0.0480547,46.47   0.000,,2.139151,2.327522
1054,2.344531,0.0505131,46.41   0.000,,2.245527,2.443535
1055,2.479385,0.0542785,45.68   0.000,,2.373001,2.585769
1056,0.0143259,0.0466002,0.31   0.759,,-0.0770089,0.1056607
1057,0.1524235,0.0365664,4.17   0.000,,0.0807546,0.2240923
1058,0.1833384,0.0369505,4.96   0.000,,0.1109168,0.25576
1059,0.2678514,0.0360803,7.42   0.000,,0.1971352,0.3385675
1060,0.4340948,0.0357029,12.16   0.000,,0.3641184,0.5040711
1061,0.565137,0.0354797,15.93   0.000,,0.495598,0.634676
1062,0.7472779,0.0353227,21.16   0.000,,0.6780467,0.816509
1063,1.032079,0.0354235,29.14   0.000,,0.96265,1.101508
1064,1.029184,0.0369655,27.84   0.000,,0.9567326,1.101635
1065,1.07962,0.035707,30.24   0.000,,1.009635,1.149604
1066,1.124582,0.0354705,31.70   0.000,,1.055061,1.194103
1067,1.331592,0.0349328,38.12   0.000,,1.263125,1.400059
1068,1.545413,0.0349586,44.21   0.000,,1.476895,1.613931
1069,1.587837,0.0356714,44.51   0.000,,1.517922,1.657751
1070,1.555966,0.0365164,42.61   0.000,,1.484395,1.627537
1071,1.45564,0.0359562,40.48   0.000,,1.385167,1.526113
1072,1.329702,0.0354344,37.53   0.000,,1.260252,1.399152
1073,1.390581,0.0354584,39.22   0.000,,1.321084,1.460078
1074,1.368032,0.0360888,37.91   0.000,,1.2973,1.438765
1075,1.45179,0.0358255,40.52   0.000,,1.381574,1.522007
1076,1.621535,0.0357169,45.40   0.000,,1.551531,1.691539
1077,1.766468,0.0362236,48.77   0.000,,1.695471,1.837465
1078,1.876395,0.0365055,51.40   0.000,,1.804845,1.947944
1079,1.977056,0.0364168,54.29   0.000,,1.90568,2.048431
1080,2.111082,0.0365203,57.81   0.000,,2.039504,2.182661
1081,2.226439,0.031708,70.22   0.000,,2.164292,2.288586
1082,2.262361,0.0399974,56.56   0.000,,2.183968,2.340755
1083,2.255093,0.0403471,55.89   0.000,,2.176014,2.334172
1084,2.460627,0.0390899,62.95   0.000,,2.384012,2.537242
1085,0.3884621,0.1078056,3.60   0.000,,0.177167,0.5997572
1086,0.4137689,0.0545905,7.58   0.000,,0.3067735,0.5207644
1087,0.3951228,0.0671808,5.88   0.000,,0.2634508,0.5267948
1088,0.3512833,0.0612682,5.73   0.000,,0.2311998,0.4713667
1089,0.4863794,0.0551922,8.81   0.000,,0.3782046,0.5945542
1090,0.6050101,0.0574644,10.53   0.000,,0.4923819,0.7176383
1091,0.7434618,0.0543797,13.67   0.000,,0.6368796,0.850044
1092,1.111234,0.0528717,21.02   0.000,,1.007608,1.214861
1093,1.229515,0.0597806,20.57   0.000,,1.112347,1.346683
1094,1.374277,0.052679,26.09   0.000,,1.271027,1.477526
1095,1.537366,0.0500054,30.74   0.000,,1.439358,1.635375
1096,1.704932,0.0501035,34.03   0.000,,1.606731,1.803133
1097,1.96985,0.0483429,40.75   0.000,,1.8751,2.0646
1098,1.989394,0.0512942,38.78   0.000,,1.888859,2.089929
1099,1.903341,0.0541331,35.16   0.000,,1.797242,2.00944
1100,1.71381,0.0530124,32.33   0.000,,1.609907,1.817712
1101,1.521936,0.0506942,30.02   0.000,,1.422577,1.621295
1102,1.624901,0.0509095,31.92   0.000,,1.52512,1.724682
1103,1.606206,0.0484418,33.16   0.000,,1.511261,1.70115
1104,1.582319,0.0491122,32.22   0.000,,1.48606,1.678577
1105,1.80893,0.0520284,34.77   0.000,,1.706957,1.910904
1106,1.993925,0.0535053,37.27   0.000,,1.889057,2.098794
1107,2.010543,0.0538293,37.35   0.000,,1.905039,2.116046
1108,2.120313,0.0532647,39.81   0.000,,2.015916,2.22471
1109,2.087877,0.0524191,39.83   0.000,,1.985137,2.190616
1110,2.331734,0.0546318,42.68   0.000,,2.224657,2.43881
1111,2.322083,0.0545127,42.60   0.000,,2.21524,2.428926
1112,1.91576,0.1303462,14.70   0.000,,1.660286,2.171234
1113,2.348282,0.1150284,20.41   0.000,,2.12283,2.573733
1114,0.2748297,0.0872705,3.15   0.002,,0.1037825,0.4458768
1115,0.5313237,0.0893829,5.94   0.000,,0.3561364,0.7065111
1116,0.6038646,0.0909999,6.64   0.000,,0.425508,0.7822211
1117,0.6757287,0.0881574,7.67   0.000,,0.5029433,0.848514
1118,0.7461415,0.0887826,8.40   0.000,,0.5721308,0.9201522
1119,0.9222052,0.0879895,10.48   0.000,,0.7497489,1.094662
1120,1.093872,0.0880538,12.42   0.000,,0.9212896,1.266454
1121,1.351104,0.0877933,15.39   0.000,,1.179032,1.523176
1122,1.63216,0.087834,18.58   0.000,,1.460009,1.804312
1123,1.881354,0.0872472,21.56   0.000,,1.710352,2.052355
1124,1.994986,0.0889951,22.42   0.000,,1.820558,2.169413
1125,1.948453,0.0903147,21.57   0.000,,1.771439,2.125466
1126,1.77528,0.090867,19.54   0.000,,1.597184,1.953376
1127,1.706079,0.0885308,19.27   0.000,,1.532562,1.879596
1128,1.613512,0.0875318,18.43   0.000,,1.441952,1.785071
1129,1.489907,0.088093,16.91   0.000,,1.317248,1.662567
1130,1.540097,0.0874309,17.62   0.000,,1.368735,1.711458
1131,1.682902,0.0878076,19.17   0.000,,1.510802,1.855002
1132,1.793225,0.0892146,20.10   0.000,,1.618368,1.968083
1133,1.829378,0.0874935,20.91   0.000,,1.657893,2.000862
1134,1.893201,0.0877771,21.57   0.000,,1.721161,2.065241
1135,1.996489,0.0875146,22.81   0.000,,1.824964,2.168015
1136,2.123644,0.0861146,24.66   0.000,,1.954863,2.292426
1137,2.146272,0.0894942,23.98   0.000,,1.970866,2.321677
1138,2.304329,0.0866971,26.58   0.000,,2.134406,2.474252
1139,2.500647,0.0888849,28.13   0.000,,2.326436,2.674859
1140,1.331944,0.2166557,6.15   0.000,,0.9073068,1.756582
1141,1.692627,0.3289313,5.15   0.000,,1.047934,2.337321
1142,1.944118,0.2345375,8.29   0.000,,1.484433,2.403803
1143,2.028223,0.2426965,8.36   0.000,,1.552546,2.503899
1144,2.187509,0.4161329,5.26   0.000,,1.371903,3.003115
1145,2.085441,0.3259636,6.40   0.000,,1.446564,2.724318
1146,1.807723,0.3213519,5.63   0.000,,1.177884,2.437561
1147,1.507572,0.241375,6.25   0.000,,1.034486,1.980659
1148,1.452477,0.2684907,5.41   0.000,,0.9262442,1.978709
1149,1.146909,0.2916021,3.93   0.000,,0.5753794,1.718439
1150,1.688132,0.2856211,5.91   0.000,,1.128325,2.247939
1151,1.642222,0.2145526,7.65   0.000,,1.221707,2.062738
1152,1.977685,0.255583,7.74   0.000,,1.476752,2.478619
1153,2.183371,0.2631745,8.30   0.000,,1.667558,2.699184
1154,2.181371,0.19808,11.01   0.000,,1.793141,2.569601
1155,2.256243,0.2798913,8.06   0.000,,1.707665,2.80482
1156,2.603069,0.2950686,8.82   0.000,,2.024744,3.181393
1157,3.021983,0.2901504,10.42   0.000,,2.453298,3.590668
1158,3.276553,0.2626813,12.47   0.000,,2.761706,3.791399
1159,0.838821,0.0877117,9.56   0.000,,0.6669092,1.010733
1160,1.002997,0.084022,11.94   0.000,,0.838317,1.167677
1161,1.279818,0.0882076,14.51   0.000,,1.106935,1.452702
1162,1.519786,0.0825628,18.41   0.000,,1.357965,1.681606
1163,2.015822,0.0761301,26.48   0.000,,1.866609,2.165034
1164,2.273191,0.0894697,25.41   0.000,,2.097834,2.448548
1165,2.164293,0.0943977,22.93   0.000,,1.979277,2.349309
1166,2.019459,0.0920687,21.93   0.000,,1.839008,2.19991
1167,1.942669,0.1058701,18.35   0.000,,1.735167,2.150171
1168,1.709434,0.0996088,17.16   0.000,,1.514204,1.904663
1169,1.744207,0.0927486,18.81   0.000,,1.562423,1.925991
1170,1.694523,0.0784965,21.59   0.000,,1.540673,1.848373
1171,1.537928,0.0860584,17.87   0.000,,1.369257,1.7066
1172,1.775821,0.0775666,22.89   0.000,,1.623793,1.927849
1173,1.890573,0.0943733,20.03   0.000,,1.705605,2.075542
1174,2.303661,0.0763923,30.16   0.000,,2.153934,2.453387
1175,2.163417,0.0763199,28.35   0.000,,2.013833,2.313002
1176,2.143826,0.1266944,16.92   0.000,,1.89551,2.392143
1177,1.84497,0.3222639,5.73   0.000,,1.213344,2.476596
1178,1.956788,0.4050702,4.83   0.000,,1.162865,2.750711
1179,2.245902,0.2620287,8.57   0.000,,1.732335,2.759469
1180,0.4999813,0.0481705,10.38   0.000,,0.4055688,0.5943939
1181,0.5173753,0.0408996,12.65   0.000,,0.4372134,0.5975371
1182,0.4963384,0.0427927,11.60   0.000,,0.4124662,0.5802106
1183,0.5292995,0.0421325,12.56   0.000,,0.4467213,0.6118776
1184,0.5228773,0.040909,12.78   0.000,,0.442697,0.6030576
1185,0.6499445,0.0365101,17.80   0.000,,0.5783859,0.721503
1186,0.8067204,0.0381775,21.13   0.000,,0.7318939,0.8815469
1187,1.081382,0.0366709,29.49   0.000,,1.009508,1.153255
1188,1.214642,0.0366783,33.12   0.000,,1.142754,1.286531
1189,1.356573,0.0363684,37.30   0.000,,1.285292,1.427854
1190,1.521852,0.0366373,41.54   0.000,,1.450044,1.593659
1191,1.746055,0.0356998,48.91   0.000,,1.676085,1.816025
1192,1.978525,0.0356982,55.42   0.000,,1.908558,2.048492
1193,2.070813,0.0362455,57.13   0.000,,1.999773,2.141853
1194,1.928137,0.0390714,49.35   0.000,,1.851558,2.004715
1195,1.625824,0.035964,45.21   0.000,,1.555336,1.696312
1196,1.325871,0.0349784,37.91   0.000,,1.257314,1.394427
1197,1.370257,0.035296,38.82   0.000,,1.301078,1.439436
1198,1.296361,0.0354864,36.53   0.000,,1.226809,1.365913
1199,1.317933,0.0364763,36.13   0.000,,1.246441,1.389425
1200,1.543453,0.0368045,41.94   0.000,,1.471318,1.615589
1201,1.745151,0.0378749,46.08   0.000,,1.670918,1.819385
1202,1.851728,0.0361154,51.27   0.000,,1.780943,1.922513
1203,1.941146,0.0362434,53.56   0.000,,1.87011,2.012182
1204,2.04495,0.0378054,54.09   0.000,,1.970853,2.119047
1205,2.17527,0.0529697,41.07   0.000,,2.071451,2.279089
1206,2.169681,0.0422828,51.31   0.000,,2.086808,2.252553
1207,2.137748,0.0545108,39.22   0.000,,2.030909,2.244587
1208,2.336408,0.0669469,34.90   0.000,,2.205195,2.467622
1209,0.4878322,0.0470788,10.36   0.000,,0.3955593,0.580105
1210,0.5586559,0.0428531,13.04   0.000,,0.4746653,0.6426465
1211,0.5035498,0.0452429,11.13   0.000,,0.4148753,0.5922244
1212,0.5483845,0.0433161,12.66   0.000,,0.4634864,0.6332825
1213,0.6249291,0.0426511,14.65   0.000,,0.5413344,0.7085238
1214,0.7074833,0.0406969,17.38   0.000,,0.6277188,0.7872479
1215,0.84794,0.0412141,20.57   0.000,,0.7671619,0.9287182
1216,1.119645,0.0402534,27.81   0.000,,1.04075,1.19854
1217,1.215796,0.0416637,29.18   0.000,,1.134137,1.297456
1218,1.345826,0.040909,32.90   0.000,,1.265646,1.426006
1219,1.507793,0.0403939,37.33   0.000,,1.428622,1.586963
1220,1.71798,0.0401334,42.81   0.000,,1.63932,1.79664
1221,1.934967,0.0395856,48.88   0.000,,1.857381,2.012553
1222,1.935565,0.0421457,45.93   0.000,,1.85296,2.018169
1223,1.885316,0.0415697,45.35   0.000,,1.803841,1.966791
1224,1.662872,0.040075,41.49   0.000,,1.584327,1.741418
1225,1.532294,0.0407014,37.65   0.000,,1.452521,1.612068
1226,1.555191,0.0399409,38.94   0.000,,1.476908,1.633473
1227,1.515543,0.0408712,37.08   0.000,,1.435437,1.595649
1228,1.548444,0.0403977,38.33   0.000,,1.469266,1.627622
1229,1.739871,0.0417659,41.66   0.000,,1.658011,1.82173
1230,1.857984,0.0434616,42.75   0.000,,1.7728,1.943167
1231,1.941267,0.0419258,46.30   0.000,,1.859094,2.02344
1232,2.055245,0.0418966,49.06   0.000,,1.973129,2.137361
1233,2.15559,0.0430616,50.06   0.000,,2.07119,2.239989
1234,2.198558,0.0441964,49.75   0.000,,2.111935,2.285181
1235,2.172934,0.0517352,42.00   0.000,,2.071534,2.274333
1236,2.250389,0.0476549,47.22   0.000,,2.156988,2.343791
1237,2.37449,0.0543427,43.69   0.000,,2.26798,2.481
1238,0.5649657,0.0719825,7.85   0.000,,0.4238825,0.7060489
1239,0.5773963,0.0390734,14.78   0.000,,0.5008139,0.6539787
1240,0.6088474,0.0404007,15.07   0.000,,0.5296634,0.6880313
1241,0.6009374,0.0385496,15.59   0.000,,0.5253815,0.6764933
1242,0.639628,0.0375704,17.02   0.000,,0.5659913,0.7132646
1243,0.7095789,0.0365864,19.39   0.000,,0.6378708,0.781287
1244,0.7905771,0.0362171,21.83   0.000,,0.7195929,0.8615613
1245,0.9719667,0.0353844,27.47   0.000,,0.9026145,1.041319
1246,1.18824,0.0351746,33.78   0.000,,1.119299,1.257181
1247,1.342396,0.0349166,38.45   0.000,,1.273961,1.410832
1248,1.557803,0.0343913,45.30   0.000,,1.490397,1.625208
1249,1.800192,0.0339453,53.03   0.000,,1.73366,1.866723
1250,2.094448,0.0337294,62.10   0.000,,2.02834,2.160556
1251,2.135245,0.0345695,61.77   0.000,,2.06749,2.203
1252,1.906093,0.0364209,52.34   0.000,,1.834709,1.977476
1253,1.529033,0.0339737,45.01   0.000,,1.462446,1.59562
1254,1.250935,0.0339393,36.86   0.000,,1.184415,1.317455
1255,1.288183,0.0340155,37.87   0.000,,1.221514,1.354853
1256,1.229826,0.0341039,36.06   0.000,,1.162984,1.296669
1257,1.234957,0.0366099,33.73   0.000,,1.163203,1.306712
