,,Robust,,,,
logprice,Coef.,Std. Err.,t    P>t,,[95% Conf.,Interval]
,,,,,,
hwvicinitypost1,-0.1277072,0.0979581,-2.22   0.026,,-0.4097016,-0.0257127
192,1.307074,0.0433982,30.12   0.000,,1.222015,1.392133
193,1.568989,0.0414372,37.86   0.000,,1.487774,1.650205
194,1.901982,0.0397322,47.87   0.000,,1.824108,1.979856
195,2.013988,0.0457284,44.04   0.000,,1.924362,2.103614
196,1.899294,0.0443772,42.80   0.000,,1.812316,1.986271
197,1.79494,0.0460855,38.95   0.000,,1.704614,1.885266
198,1.57371,0.0430033,36.60   0.000,,1.489425,1.657995
199,1.520709,0.043656,34.83   0.000,,1.435144,1.606273
200,1.417434,0.0433686,32.68   0.000,,1.332433,1.502435
201,1.416525,0.042427,33.39   0.000,,1.33337,1.499681
202,1.618597,0.0450432,35.93   0.000,,1.530314,1.70688
203,1.773652,0.0427264,41.51   0.000,,1.68991,1.857394
204,1.860681,0.0431722,43.10   0.000,,1.776065,1.945297
205,1.949522,0.0447416,43.57   0.000,,1.86183,2.037214
206,2.046295,0.0429716,47.62   0.000,,1.962072,2.130518
207,2.072153,0.0500756,41.38   0.000,,1.974006,2.170299
208,2.215642,0.0489939,45.22   0.000,,2.119616,2.311668
209,2.237259,0.0477844,46.82   0.000,,2.143603,2.330915
210,2.578194,0.0537926,47.93   0.000,,2.472762,2.683625
211,0.5220366,0.050412,10.36   0.000,,0.4232309,0.6208423
212,0.6056009,0.0387133,15.64   0.000,,0.5297242,0.6814775
213,0.6364461,0.0388517,16.38   0.000,,0.5602983,0.712594
214,0.632484,0.0396027,15.97   0.000,,0.5548641,0.7101039
215,0.6974161,0.0390039,17.88   0.000,,0.6209699,0.7738623
216,0.716776,0.0381991,18.76   0.000,,0.641907,0.7916449
217,0.7633824,0.037679,20.26   0.000,,0.6895329,0.8372319
218,0.8532958,0.037224,22.92   0.000,,0.7803381,0.9262536
219,1.006127,0.0367209,27.40   0.000,,0.9341551,1.078098
220,1.125092,0.0365076,30.82   0.000,,1.053539,1.196646
221,1.361488,0.0363044,37.50   0.000,,1.290333,1.432643
222,1.694851,0.0359636,47.13   0.000,,1.624363,1.765338
223,2.026002,0.0356378,56.85   0.000,,1.956153,2.095851
224,2.126555,0.036071,58.95   0.000,,2.055857,2.197253
225,1.997543,0.0370896,53.86   0.000,,1.924849,2.070237
226,1.731002,0.0362638,47.73   0.000,,1.659927,1.802078
227,1.492556,0.0355539,41.98   0.000,,1.422871,1.56224
228,1.561941,0.0355807,43.90   0.000,,1.492204,1.631678
229,1.468536,0.0355957,41.26   0.000,,1.398769,1.538302
230,1.494163,0.035769,41.77   0.000,,1.424057,1.564269
231,1.654296,0.0377315,43.84   0.000,,1.580343,1.728248
232,1.777857,0.0362123,49.10   0.000,,1.706882,1.848832
233,1.851022,0.0362058,51.12   0.000,,1.780059,1.921984
234,1.960929,0.0361089,54.31   0.000,,1.890157,2.031701
235,2.061878,0.0363197,56.77   0.000,,1.990692,2.133063
236,2.158509,0.0364404,59.23   0.000,,2.087087,2.229931
237,2.211474,0.037041,59.70   0.000,,2.138875,2.284073
238,2.310247,0.0371432,62.20   0.000,,2.237448,2.383046
239,2.520196,0.0402796,62.57   0.000,,2.441249,2.599143
240,1.16283,0.1271597,9.14   0.000,,0.9136011,1.412058
241,1.530405,0.1156011,13.24   0.000,,1.303831,1.756979
242,1.714876,0.127879,13.41   0.000,,1.464238,1.965514
243,1.883502,0.1168556,16.12   0.000,,1.654469,2.112535
244,1.767267,0.1910731,9.25   0.000,,1.392771,2.141764
245,1.683937,0.1226314,13.73   0.000,,1.443584,1.92429
246,1.518872,0.1142797,13.29   0.000,,1.294888,1.742856
247,1.525084,0.1417962,10.76   0.000,,1.247168,1.802999
248,1.434867,0.1462505,9.81   0.000,,1.148222,1.721513
249,1.421326,0.124479,11.42   0.000,,1.177352,1.665301
250,1.555709,0.1243727,12.51   0.000,,1.311943,1.799475
251,1.773105,0.2252177,7.87   0.000,,1.331686,2.214524
252,1.92424,0.1318338,14.60   0.000,,1.665851,2.18263
253,1.845419,0.1198824,15.39   0.000,,1.610454,2.080385
254,1.92907,0.1132451,17.03   0.000,,1.707113,2.151026
255,2.09988,0.1557796,13.48   0.000,,1.794558,2.405203
256,2.322362,0.1516058,15.32   0.000,,2.02522,2.619504
257,2.322946,0.1402437,16.56   0.000,,2.048073,2.597819
258,2.331437,0.2071251,11.26   0.000,,1.925479,2.737395
