logprice,Coefficient,std. err.,t    P>t,,[95% conf.,interval]
,,,,,,
post,-0.0030469,0.0085824,-0.36   0.723,,-0.0198875,0.0137937
,,,,,,
month,,,,,,
566,0.2407288,0.0401241,6.00   0.000,,0.1619967,0.3194609
567,0.4184403,0.04552,9.19   0.000,,0.3291202,0.5077603
579,0,(omitted),,,,
580,-0.354563,0.0103095,-34.39   0.000,,-0.3747924,-0.3343335
581,-0.5614803,0.0155784,-36.04   0.000,,-0.5920484,-0.5309122
582,-0.8155223,0.0197304,-41.33   0.000,,-0.8542376,-0.776807
583,0.1688702,0.0213017,7.93   0.000,,0.1270716,0.2106688
584,0.4312354,0.0246297,17.51   0.000,,0.3829067,0.4795641
585,2.079323,0.0140756,147.73   0.000,,2.051703,2.106942
586,1.965829,0.0361404,54.39   0.000,,1.894914,2.036744
598,0,(omitted),,,,
599,0.2402669,0.0509611,4.71   0.000,,0.1402703,0.3402635
600,0.0943836,0.1000672,0.94   0.346,,-0.1019698,0.290737
601,0.11148,0.0707297,1.58   0.115,,-0.0273069,0.250267
602,0.2507713,0.0840271,2.98   0.003,,0.085892,0.4156505
603,0.008102,0.1120909,0.07   0.942,,-0.2118444,0.2280484
604,0.7719606,0.0567837,13.59   0.000,,0.6605388,0.8833824
627,0,(omitted),,,,
628,0.0708051,0.0684486,1.03   0.301,,-0.0635057,0.2051159
629,0.0627459,0.0586363,1.07   0.285,,-0.0523111,0.177803
630,0.1413152,0.0557073,2.54   0.011,,0.0320055,0.2506249
631,0.2479805,0.0623803,3.98   0.000,,0.1255771,0.370384
632,0.2628726,0.0655661,4.01   0.000,,0.1342179,0.3915273
633,0.3640792,0.0718901,5.06   0.000,,0.2230153,0.5051431
634,0.5336174,0.074577,7.16   0.000,,0.3872812,0.6799536
655,-0.7142284,0.0530865,-13.45   0.000,,-0.8183954,-0.6100613
656,0,(omitted),,,,
657,-0.3815376,0.1126537,-3.39   0.001,,-0.6025885,-0.1604868
658,-0.0496716,0.1244889,-0.40   0.690,,-0.2939455,0.1946023
659,0.0517128,0.0771919,0.67   0.503,,-0.0997543,0.2031798
660,0.0383689,0.0718493,0.53   0.593,,-0.1026149,0.1793527
661,0.0839838,0.1191307,0.70   0.481,,-0.1497762,0.3177438
662,-0.0082422,0.1210032,-0.07   0.946,,-0.2456766,0.2291922
663,0.070539,0.1287301,0.55   0.584,,-0.1820571,0.3231352
679,0,(omitted),,,,
680,-0.1836061,0.005926,-30.98   0.000,,-0.1952341,-0.1719781
681,0.2005299,0.0089342,22.45   0.000,,0.1829992,0.2180607
682,0.3930103,0.015722,25.00   0.000,,0.3621604,0.4238603
683,0.584221,0.0283617,20.60   0.000,,0.5285692,0.6398728
684,0.6014905,0.095878,6.27   0.000,,0.4133573,0.7896238
685,0.7263539,0.0869206,8.36   0.000,,0.5557969,0.8969109
686,0.805541,0.1818498,4.43   0.000,,0.4487125,1.16237
687,1.019131,0.1236188,8.24   0.000,,0.776564,1.261697
688,1.097959,0.1294786,8.48   0.000,,0.8438946,1.352024
707,0,(omitted),,,,
708,-0.0854765,0.048827,-1.75   0.080,,-0.1812855,0.0103326
709,0.1091793,0.0549893,1.99   0.047,,0.0012785,0.21708
710,0.1709816,0.0485836,3.52   0.000,,0.07565,0.2663131
711,0.2749458,0.0210379,13.07   0.000,,0.2336648,0.3162267
712,0.3200705,0.0270628,11.83   0.000,,0.2669674,0.3731736
713,0.3340114,0.0383099,8.72   0.000,,0.2588392,0.4091837
714,0.4450457,0.0390155,11.41   0.000,,0.3684889,0.5216024
715,0.4922427,0.0417945,11.78   0.000,,0.410233,0.5742525
716,0.5473633,0.0426808,12.82   0.000,,0.4636144,0.6311123
717,0.6942238,0.0522285,13.29   0.000,,0.5917403,0.7967074
731,-0.1534285,0.0099245,-15.46   0.000,,-0.1729026,-0.1339544
732,0,(omitted),,,,
733,-0.307966,0.0075671,-40.70   0.000,,-0.3228142,-0.2931178
734,-0.3573962,0.0086383,-41.37   0.000,,-0.3743464,-0.340446
735,-0.4129405,0.0094768,-43.57   0.000,,-0.4315361,-0.394345
736,-0.3146036,0.0498916,-6.31   0.000,,-0.4125017,-0.2167055
737,-0.5817184,0.1054019,-5.52   0.000,,-0.7885395,-0.3748972
738,-0.4312812,0.0189992,-22.70   0.000,,-0.4685618,-0.3940006
739,-0.0606898,0.0694704,-0.87   0.383,,-0.1970056,0.0756261
740,0.1097599,0.061573,1.78   0.075,,-0.0110596,0.2305795
741,0.3067431,0.1236058,2.48   0.013,,0.064202,0.5492842
742,0.0826163,0.1837955,0.45   0.653,,-0.27803,0.4432627
743,0.3078363,0.1409496,2.18   0.029,,0.0312629,0.5844098
744,0.3964595,0.1026842,3.86   0.000,,0.194971,0.597948
745,0.4631685,0.0980025,4.73   0.000,,0.2708665,0.6554705
746,0.6163501,0.0982069,6.28   0.000,,0.423647,0.8090532
761,0.266781,0.6540746,0.41   0.683,,-1.016654,1.550216
762,0.08954,0.7918242,0.11   0.910,,-1.464189,1.64327
763,0.4735703,0.5461105,0.87   0.386,,-0.598016,1.545157
764,0.4278849,0.67151,0.64   0.524,,-0.8897621,1.745532
765,0,(omitted),,,,
786,-0.0321927,0.0685445,-0.47   0.639,,-0.1666919,0.1023064
787,0,(omitted),,,,
788,0.1834975,0.0559901,3.28   0.001,,0.0736328,0.2933622
789,0.2163629,0.0757593,2.86   0.004,,0.067707,0.3650189
790,0.3117153,0.0791975,3.94   0.000,,0.1563128,0.4671179
791,0.3758927,0.0830217,4.53   0.000,,0.2129862,0.5387991
792,0.4571068,0.0824646,5.54   0.000,,0.2952936,0.61892
793,0.5494536,0.0869503,6.32   0.000,,0.3788385,0.7200687
794,0.6878358,0.0940275,7.32   0.000,,0.5033335,0.8723381
811,0,(omitted),,,,
812,-0.0722392,0.0079479,-9.09   0.000,,-0.0878346,-0.0566438
813,-0.1679256,0.0420964,-3.99   0.000,,-0.2505279,-0.0853234
814,-0.1524149,0.0275024,-5.54   0.000,,-0.2063805,-0.0984492
815,0.0202575,0.0315039,0.64   0.520,,-0.0415599,0.0820749
816,0.1247377,0.03722,3.35   0.001,,0.0517041,0.1977713
817,0.3273763,0.0513094,6.38   0.000,,0.2266963,0.4280563
818,0.3833232,0.0336694,11.38   0.000,,0.3172565,0.4493898
819,0.503246,0.0338895,14.85   0.000,,0.4367475,0.5697446
820,0.5929917,0.0404707,14.65   0.000,,0.5135794,0.672404
821,0.6347063,0.0462987,13.71   0.000,,0.5438583,0.7255543
822,0.7222588,0.0497328,14.52   0.000,,0.6246724,0.8198452
823,0.8921589,0.0579902,15.38   0.000,,0.7783696,1.005948
843,-0.2067111,0.0229635,-9.00   0.000,,-0.2517704,-0.1616519
844,-0.2114099,0.0147785,-14.31   0.000,,-0.2404084,-0.1824113
845,-0.2015784,0.0087696,-22.99   0.000,,-0.2187862,-0.1843705
846,0,(omitted),,,,
867,0,(omitted),,,,
868,0.1258513,0.0539334,2.33   0.020,,0.0200223,0.2316803
869,0.1937022,0.0495305,3.91   0.000,,0.0965127,0.2908916
870,0.3044312,0.0263725,11.54   0.000,,0.2526827,0.3561797
871,0.4074771,0.0258466,15.77   0.000,,0.3567606,0.4581936
872,0.4618314,0.0336769,13.71   0.000,,0.3957501,0.5279127
